Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
30,4,15,2.20,"12,825.36","13,267.16",156.51,26.80,43.59,1.32,1036,314,722,30.31,1.51,0.42,12.28,5.77,-4.64,-4.64,0.96,0.32,0.42
30,3,30,1.92,"14,804.00","15,096.96",196.08,31.47,43.59,1.64,900,148,752,16.44,1.80,0.42,28.73,8.05,-3.91,-3.91,0.96,0.33,0.42
20,7,17,2.01,"14,313.20","14,807.60",186.26,30.36,43.21,1.57,945,363,582,38.41,1.44,0.42,8.88,5.38,-5.65,-5.65,0.96,0.33,0.42
25,4,13,2.33,"12,533.44","12,978.96",150.67,26.07,43.28,1.27,1094,362,732,33.09,1.48,0.42,10.94,5.77,-4.52,-4.52,0.96,0.32,0.42
15,8,18,1.99,"15,361.84","15,604.68",207.24,32.70,43.82,1.72,934,376,558,40.26,1.45,0.42,8.71,5.08,-6.44,-6.44,0.96,0.33,0.42
25,3,10,2.54,"11,365.68","11,365.68",127.31,23.00,43.28,1.09,1193,396,797,33.19,1.49,0.42,11.08,5.22,-4.40,-4.40,0.96,0.30,0.42
15,7,18,2.05,"14,778.40","15,273.72",195.57,31.41,43.82,1.64,965,358,607,37.10,1.44,0.42,9.19,5.17,-6.08,-6.08,0.96,0.33,0.42
25,7,17,1.95,"14,247.92","14,742.32",184.96,30.21,43.28,1.57,917,354,563,38.60,1.45,0.42,9.07,5.33,-5.67,-5.67,0.96,0.34,0.42
25,3,22,2.10,"13,704.88","14,091.68",174.10,28.94,43.28,1.43,988,198,790,20.04,1.68,0.42,21.51,6.75,-4.29,-4.29,0.96,0.32,0.42
15,6,17,2.19,"14,630.28","14,904.64",192.61,31.08,43.82,1.58,1028,363,665,35.31,1.46,0.42,9.96,5.04,-6.17,-6.17,0.96,0.31,0.42
25,4,12,2.37,"12,256.16","12,467.92",145.12,25.36,43.28,1.24,1116,387,729,34.68,1.47,0.42,10.21,6.49,-3.91,-3.91,0.96,0.31,0.42
25,4,14,2.29,"12,587.00","13,126.28",151.74,26.20,43.28,1.30,1075,338,737,31.44,1.48,0.42,11.36,4.84,-5.42,-5.42,0.96,0.31,0.42
25,4,16,2.20,"13,016.60","13,503.40",160.33,27.27,43.28,1.34,1035,300,735,28.99,1.51,0.42,12.76,5.44,-5.01,-5.01,0.96,0.32,0.42
15,3,24,2.22,"14,370.44","14,848.48",187.41,30.49,43.82,1.52,1044,195,849,18.68,1.68,0.42,22.51,6.33,-4.82,-4.82,0.96,0.30,0.42
15,5,18,2.21,"14,014.12","14,416.84",180.28,29.67,43.82,1.49,1037,315,722,30.38,1.48,0.42,11.43,6.30,-4.71,-4.71,0.96,0.31,0.42
15,5,16,2.27,"13,594.44","13,987.12",171.89,28.68,43.82,1.44,1069,349,720,32.65,1.45,0.42,10.37,5.96,-4.81,-4.81,0.96,0.31,0.42
30,4,16,2.16,"12,898.92","13,443.24",157.98,26.98,43.59,1.32,1017,295,722,29.01,1.52,0.42,12.79,5.17,-5.22,-5.22,0.96,0.32,0.42
15,3,28,2.14,"15,355.04","15,756.72",207.10,32.69,43.82,1.65,1004,172,832,17.13,1.77,0.42,26.76,6.25,-5.23,-5.23,0.96,0.31,0.42
20,4,13,2.40,"12,512.52","12,958.04",150.25,26.01,43.21,1.27,1127,370,757,32.83,1.47,0.42,10.61,5.88,-4.42,-4.42,0.96,0.31,0.42
20,3,9,2.65,"10,864.96","10,876.64",117.30,21.61,43.21,1.02,1246,435,811,34.91,1.45,0.42,9.65,5.40,-4.00,-4.00,0.96,0.29,0.42
20,4,14,2.36,"12,674.84","13,214.12",153.50,26.42,43.21,1.30,1109,347,762,31.29,1.47,0.42,11.16,5.16,-5.12,-5.12,0.96,0.31,0.42
30,4,19,2.06,"13,377.20","14,135.16",167.54,28.15,43.59,1.42,970,252,718,25.98,1.55,0.42,14.72,4.21,-6.69,-6.69,0.96,0.33,0.42
20,3,24,2.12,"14,172.48","14,634.28",183.45,30.03,43.21,1.50,998,188,810,18.84,1.70,0.42,22.98,6.29,-4.78,-4.78,0.96,0.31,0.42
10,3,9,3.09,"11,075.76","11,162.32",121.52,22.18,43.91,1.07,1451,494,957,34.05,1.39,0.42,8.64,5.43,-4.09,-4.09,0.96,0.25,0.42
10,3,26,2.46,"15,339.08","15,785.68",206.78,32.63,43.91,1.66,1158,201,957,17.36,1.67,0.42,23.04,6.00,-5.44,-5.44,0.96,0.28,0.42
20,4,15,2.32,"12,860.88","13,345.16",157.22,26.89,43.21,1.33,1088,326,762,29.96,1.49,0.42,11.79,5.68,-4.73,-4.73,0.96,0.31,0.42
20,4,16,2.27,"13,036.92","13,523.72",160.74,27.32,43.21,1.34,1067,307,760,28.77,1.50,0.42,12.44,5.01,-5.45,-5.45,0.96,0.31,0.42
15,3,9,2.77,"10,735.52","10,779.68",114.71,21.24,43.82,1.05,1302,448,854,34.41,1.41,0.41,9.06,4.90,-4.33,-4.33,0.96,0.28,0.41
10,4,18,2.58,"13,534.64","14,058.72",170.69,28.51,43.91,1.48,1214,312,902,25.70,1.45,0.41,12.02,4.53,-6.29,-6.29,0.96,0.28,0.41
25,3,9,2.59,"10,588.40","10,600.08",111.77,20.82,43.28,1.03,1215,422,793,34.73,1.43,0.41,9.44,5.03,-4.14,-4.14,0.96,0.29,0.41
20,4,12,2.44,"12,115.24","12,327.00",142.30,24.99,43.21,1.25,1149,394,755,34.29,1.44,0.41,9.75,6.23,-4.01,-4.01,0.96,0.30,0.41
