Short EMA,Long EMA,Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Profit Factor,Total Trades,Winning Trades,Losing Trades,Win Rate (%),Exposure Time (%)
35,220,186.11100000000025,7.360276525500131,159.97451958806667,22.088233882247053,0.3506046332724676,0.16834522830358561,4.717956986856591,-39.4473710799978,-18.30185615933014,2.06292534490203,55,21,34,38.18181818181819,70.84413531457477
35,230,204.98520000000022,7.824643063034653,159.97451958806667,20.929565618421865,0.37929497296746106,0.21244261657346453,5.088715315371232,-40.28230846021422,-17.857193682259126,2.1543987457256013,51,20,31,39.21568627450981,71.00853619981031
35,240,197.73520000000022,7.649525425395232,159.97451958806667,19.59131116300856,0.3924850443790198,0.19430914324115733,4.878107606821138,-40.535227169549074,-16.940175780329497,2.09129361223974,51,18,33,35.294117647058826,71.38792285804615
35,250,203.5846000000002,7.791117452157259,159.97451958806667,22.715198176545144,0.3644226406014642,0.2331876945103164,5.153025471757796,-39.50778064571716,-17.11892083090114,2.138971782021459,48,19,29,39.58333333333333,71.67246285172305
35,260,201.28420000000017,7.735739439765155,159.97451958806667,23.22290237341022,0.36073820159479547,0.2243655589163577,5.489932149881289,-36.664241834819876,-16.51041264819573,2.1512177098978182,46,19,27,41.30434782608695,71.98229528928233
35,270,226.8336000000002,8.329833876813098,159.97451958806667,23.09072187927895,0.38417593438972797,0.2322762505522354,7.0082143525046545,-32.36681822081148,-13.122962351740005,2.41864098314519,43,18,25,41.86046511627907,72.22889661713563
35,280,228.00880000000018,8.3561061648461,159.97451958806667,23.82855679876656,0.3798851638932438,0.24503627343245352,7.1624147626983845,-31.834068195472614,-12.295061473146568,2.3956606422974147,44,18,26,40.909090909090914,72.34903572557698
35,290,214.0588000000002,8.038419146489527,159.97451958806667,22.84444949195326,0.38044128913692526,0.2240539709456906,6.837353784728191,-31.307258149800386,-12.451404207289906,2.252574972936599,44,19,25,43.18181818181818,72.50079038887132
35,300,194.1342000000002,7.56106318936296,159.97451958806667,24.588800001318052,0.3513596230492885,0.2033344697551904,5.184211369608422,-37.44719999999994,-14.127952381682974,2.09808138285236,46,16,30,34.78260869565217,72.59563705343028
40,50,197.27080000000046,7.638173177191221,159.97451958806667,15.474125182265686,0.3961040637640185,0.15169041716336695,5.930583230706515,-33.26330519713479,-14.772631878862127,1.6218859330836173,104,48,56,46.15384615384615,65.91843186847929
40,60,231.51860000000036,8.434050557273597,159.97451958806667,15.146672708864815,0.44157953103593545,0.16802315344929847,7.508227921330819,-30.835318589924228,-13.586666730020006,1.8338817661457518,93,41,52,44.086021505376344,66.51280429971546
40,70,259.71580000000023,9.033713492197126,159.97451958806667,16.881632784060702,0.43401085784158044,0.17247586581120256,7.469807515703992,-34.76874062069099,-13.894554651456215,2.021231836587681,79,35,44,44.303797468354425,66.64558963009802
40,80,235.6900000000003,8.525693009529146,159.97451958806667,16.43704244807232,0.42729308089650814,0.15648270204750037,7.245603399723943,-32.52869181453957,-15.803380429634057,1.9580240048647084,75,34,41,45.33333333333333,67.08820739803983
40,90,212.74000000000032,8.007708453568284,159.97451958806667,17.834426442995667,0.38806479178795666,0.13846650291356805,5.857305792924841,-36.32045304122133,-17.6675186056121,1.862984480558308,75,33,42,44.0,67.25260828327538
40,100,233.68900000000022,8.481865896522734,159.97451958806667,18.693237348776233,0.39335532701232473,0.15838488624761415,6.61294554282836,-35.33811045116384,-16.917325310133457,2.050090365046028,70,29,41,41.42857142857143,67.35377805880493
40,110,215.6888000000003,8.076210976780395,159.97451958806667,19.08419489750185,0.3769717154502772,0.13383797406353107,6.039242997484689,-35.71454238384405,-16.552374845320372,2.0794316799871893,69,29,40,42.028985507246375,67.58141005374644
40,120,206.38880000000032,7.8580967704563465,159.97451958806667,20.590003342693645,0.3588422966374541,0.12496639641548693,4.894435172888922,-42.16805263725254,-18.533276078333234,1.9559816945509798,69,29,40,42.028985507246375,68.11255137527664
40,130,226.4626000000003,8.321521658450258,159.97451958806667,19.27502803982122,0.39446176197208116,0.1375970171855291,6.7229627575323185,-33.68494042991308,-14.706338887487275,2.1709980930003607,63,27,36,42.857142857142854,68.66898514068922
40,140,252.13720000000018,8.876971546001421,159.97451958806667,19.43498948192575,0.4127518350761087,0.14967838322099086,9.747880277238052,-25.865849069644124,-14.08737665597222,2.42758334078821,61,27,34,44.26229508196721,68.92823269048371
40,150,236.56180000000023,8.544711561949692,159.97451958806667,20.837740136645355,0.38649309539127996,0.16195234394329594,8.30266228479799,-28.49228258183405,-13.606885783273693,2.2843134274229455,59,25,34,42.3728813559322,69.32658868163136
40,160,224.43600000000026,8.275959823200152,159.97451958806667,19.759785585384822,0.39497150798372554,0.17058818050640256,9.070564868929058,-24.743332222759236,-13.561560001649168,2.2790664540550285,55,23,32,41.81818181818181,69.7502371166614
40,170,207.61060000000023,7.8871012843898525,159.97451958806667,18.600131250710266,0.39677624293510055,0.17983810883089482,8.684718169792136,-23.905277746620218,-14.273191922514023,2.1537524493758613,53,22,31,41.509433962264154,69.87669933607334
40,180,238.9606000000002,8.596805918747542,159.97451958806667,18.601747802371708,0.42607500723127345,0.1968976872121094,9.52683049663119,-25.082906648176404,-12.22735659311351,2.585205931637835,53,24,29,45.28301886792453,70.10433133101486
40,190,245.43460000000016,8.735703613840107,159.97451958806667,18.71326531569114,0.432467225710936,0.19668126667570637,8.363998230064494,-29.34417168069004,-12.081313383735933,2.822486340704923,48,24,24,50.0,70.2560859943092
40,200,227.91020000000017,8.353905279641193,159.97451958806667,19.910702987350657,0.40435230854335064,0.18747045458387032,6.754271207825867,-33.74312238690253,-14.371570905948,2.4258253651676265,51,23,28,45.09803921568628,70.45210243439772
40,210,196.23540000000023,7.612803194078266,159.97451958806667,21.18572895412236,0.36546613625515983,0.18443903335005932,5.626266869332027,-34.878437969171216,-18.244379855975527,2.0730974548882757,52,18,34,34.61538461538461,70.62282643060385
40,220,197.0098000000002,7.6317857771176945,159.97451958806667,21.248405281925198,0.36847290963890805,0.18032464933667636,5.141586519028841,-38.31692791142841,-18.50297534677771,2.028939440786176,49,18,31,36.734693877551024,70.83781220360417
40,230,191.68500000000023,7.500317242448373,159.97451958806667,24.24715998018721,0.33921940967292985,0.18093927564555187,4.885216936680787,-39.23776620045838,-18.550143281791826,2.0112976644951353,50,18,32,36.0,71.17926019601643
40,240,189.9840000000002,7.457847924863836,159.97451958806667,23.00170563146511,0.3490057744257688,0.1840016851321151,5.458820283085971,-34.80312414546074,-17.691742769592118,2.0411827955810677,45,17,28,37.77777777777778,71.46380018969333
40,250,202.70880000000017,7.770080408985902,159.97451958806667,22.485075225170167,0.3656989736296279,0.2233066470472747,7.121082039673263,-28.46601104588609,-15.437084226570837,2.165695200327554,44,20,24,45.45454545454545,71.74201707239962
40,260,218.20840000000018,8.134271841348252,159.97451958806667,21.869572497355673,0.38873767230891876,0.20291744749187024,7.442488692562385,-29.3192786732838,-14.964945806170835,2.2764800924739714,42,19,23,45.23809523809524,72.07714195384129
40,270,224.15840000000017,8.26969819203196,159.97451958806667,22.34667207661996,0.3913042285207651,0.19795509813297837,8.036609600572511,-27.892159895888387,-13.839606137906888,2.411397290772837,42,18,24,42.857142857142854,72.33006639266519
40,280,210.45860000000022,7.954295578283754,159.97451958806667,22.604575070782122,0.37876446501390704,0.1930000962728659,7.437219498906455,-28.298021865691254,-12.79080130719854,2.2576345365974926,43,17,26,39.53488372093023,72.39329750237117
40,290,185.90860000000018,7.355143722920077,159.97451958806667,23.990858941991984,0.3494365520806823,0.17938203745316816,5.134845492007723,-36.205295814521186,-14.588053577866884,2.0597937744699,43,16,27,37.2093023255814,72.5766677205185
40,300,184.4340000000002,7.3176457241706405,159.97451958806667,24.158117249851266,0.3486754693258131,0.18954174745411945,5.080168795978394,-36.30469919542898,-15.758983032021618,2.069528577939995,45,16,29,35.55555555555556,72.86120771419539
45,50,216.5940000000004,8.097119689506926,159.97451958806667,15.241850175290262,0.423607174830597,0.15883891775955417,7.129071675164299,-30.38179581705618,-14.33446963777766,1.7188296094317306,95,44,51,46.31578947368421,66.29781852671515
45,60,267.0912000000001,9.183323856882385,159.97451958806667,16.686398359182945,0.44053888923387635,0.1778869007271447,7.707591350013067,-34.65300479371513,-13.89415875155887,2.0831344209642686,81,36,45,44.44444444444444,66.45589630098007
