Start Date,End Date,Exposure Time,Final Account Balance,Equity Peak,Total Return,Annualized Return,Benchmark Return,Volatility (Annual),Total Trades,Winning Trades,Losing Trades,Win Rate,Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Average Drawdown,Max Drawdown Duration,Average Drawdown Duration,Simulation
2017-01-03,2024-12-26,30.79%,17552.59,"$17,560.71",251.05,17.05,128.19,7.25,763,288,475,37.75%,1.69,2.16,5.34,47.26,-5.31,-1.13,0.00 days,0.00 days,33
2017-01-03,2024-12-26,31.82%,17526.78,"$17,578.28",250.54,17.02,128.19,7.31,749,299,450,39.92%,1.65,2.14,4.82,65.53,-3.82,-1.08,0.00 days,0.00 days,34
2017-01-03,2024-12-26,31.54%,16180.46,"$16,383.51",223.61,15.86,128.19,7.7,814,374,440,45.95%,1.53,1.91,3.75,44.79,-4.99,-1.44,0.00 days,0.00 days,35
2017-01-03,2024-12-26,29.40%,17207.44,"$17,306.89",244.15,16.76,128.19,7.16,823,336,487,40.83%,1.66,2.15,5.26,50.58,-4.83,-1.19,0.00 days,0.00 days,36
2017-01-03,2024-12-26,31.22%,17032.43,"$17,207.10",240.65,16.61,128.19,7.24,782,327,455,41.82%,1.61,2.11,4.59,57.6,-4.18,-1.15,0.00 days,0.00 days,37
2017-01-03,2024-12-26,30.79%,17686.17,"$17,693.58",253.72,17.16,128.19,7.23,763,288,475,37.75%,1.7,2.18,5.39,48.12,-5.27,-1.12,0.00 days,0.00 days,38
2017-01-03,2024-12-26,30.37%,17087.52,"$17,100.14",241.75,16.65,128.19,7.27,784,300,484,38.27%,1.65,2.1,5.22,39.39,-6.14,-1.18,0.00 days,0.00 days,39
2017-01-03,2024-12-26,30.79%,17597.98,"$17,605.86",251.96,17.08,128.19,7.24,763,288,475,37.75%,1.69,2.16,5.36,47.55,-5.3,-1.13,0.00 days,0.00 days,40
2017-01-03,2024-12-26,31.76%,17088.47,"$17,178.06",241.77,16.65,128.19,7.22,766,311,455,40.60%,1.62,2.12,4.76,60.01,-4.03,-1.09,0.00 days,0.00 days,41
2017-01-03,2024-12-26,29.84%,16975.57,"$17,044.05",239.51,16.56,128.19,7.23,798,315,483,39.47%,1.65,2.1,5.15,50.78,-4.72,-1.16,0.00 days,0.00 days,42
2017-01-03,2024-12-26,30.67%,17540.46,"$17,663.21",250.81,17.04,128.19,7.11,808,350,458,43.32%,1.64,2.2,4.76,60.65,-4.14,-1.13,0.00 days,0.00 days,43
2017-01-03,2024-12-26,30.67%,17331.1,"$17,455.40",246.62,16.86,128.19,7.15,808,350,458,43.32%,1.62,2.16,4.69,58.62,-4.21,-1.15,0.00 days,0.00 days,44
2017-01-03,2024-12-26,32.46%,15970.86,"$16,158.95",219.42,15.67,128.19,7.49,769,331,438,43.04%,1.52,1.93,4.11,47.85,-4.59,-1.32,0.00 days,0.00 days,45
2017-01-03,2024-12-26,30.37%,17167.61,"$17,179.82",243.35,16.72,128.19,7.26,784,300,484,38.27%,1.66,2.12,5.25,39.81,-6.11,-1.18,0.00 days,0.00 days,46
2017-01-03,2024-12-26,29.40%,17502.35,"$17,599.65",250.05,17.0,128.19,7.1,823,336,487,40.83%,1.68,2.2,5.38,52.59,-4.75,-1.16,0.00 days,0.00 days,47
2017-01-03,2024-12-26,31.76%,17152.11,"$17,239.30",243.04,16.71,128.19,7.2,766,311,455,40.60%,1.62,2.13,4.79,60.65,-4.01,-1.08,0.00 days,0.00 days,48
2017-01-03,2024-12-26,29.40%,17442.52,"$17,540.25",248.85,16.95,128.19,7.11,823,336,487,40.83%,1.67,2.19,5.36,52.18,-4.77,-1.16,0.00 days,0.00 days,49
2017-01-03,2024-12-26,29.40%,17173.8,"$17,273.50",243.48,16.73,128.19,7.16,823,336,487,40.83%,1.65,2.15,5.25,50.36,-4.84,-1.2,0.00 days,0.00 days,50
2017-01-03,2024-12-26,31.76%,17174.31,"$17,260.66",243.49,16.73,128.19,7.2,766,311,455,40.60%,1.62,2.13,4.79,60.88,-4.0,-1.08,0.00 days,0.00 days,51
2017-01-03,2024-12-26,29.40%,17202.71,"$17,302.19",244.05,16.75,128.19,7.16,823,336,487,40.83%,1.66,2.15,5.26,50.55,-4.83,-1.19,0.00 days,0.00 days,52
2017-01-03,2024-12-26,31.22%,16957.26,"$17,134.81",239.15,16.54,128.19,7.25,782,327,455,41.82%,1.61,2.1,4.57,56.87,-4.2,-1.15,0.00 days,0.00 days,53
2017-01-03,2024-12-26,31.94%,16326.93,"$16,474.45",226.54,15.99,128.19,7.48,792,352,440,44.44%,1.54,1.97,3.96,47.55,-4.76,-1.32,0.00 days,0.00 days,54
2017-01-03,2024-12-26,29.40%,17443.85,"$17,541.57",248.88,16.96,128.19,7.11,823,336,487,40.83%,1.67,2.19,5.36,52.19,-4.77,-1.16,0.00 days,0.00 days,55
2017-01-03,2024-12-26,33.12%,17018.5,"$17,077.56",240.37,16.59,128.19,7.49,736,306,430,41.58%,1.58,2.04,4.49,55.12,-4.36,-1.2,0.00 days,0.00 days,56
2017-01-03,2024-12-26,29.40%,17204.26,"$17,303.73",244.09,16.75,128.19,7.16,823,336,487,40.83%,1.66,2.15,5.26,50.56,-4.83,-1.19,0.00 days,0.00 days,57
2017-01-03,2024-12-26,31.22%,17071.54,"$17,244.70",241.43,16.64,128.19,7.23,782,327,455,41.82%,1.62,2.11,4.61,57.98,-4.16,-1.14,0.00 days,0.00 days,58
2017-01-03,2024-12-26,29.40%,17535.02,"$17,632.07",250.7,17.03,128.19,7.1,823,336,487,40.83%,1.68,2.2,5.39,52.82,-4.75,-1.15,0.00 days,0.00 days,59
2017-01-03,2024-12-26,29.40%,17227.29,"$17,326.59",244.55,16.77,128.19,7.15,823,336,487,40.83%,1.66,2.15,5.27,50.71,-4.82,-1.19,0.00 days,0.00 days,60
2017-01-03,2024-12-26,32.46%,16202.76,"$16,382.40",224.06,15.88,128.19,7.45,769,331,438,43.04%,1.53,1.97,4.19,49.49,-4.53,-1.29,0.00 days,0.00 days,61
2017-01-03,2024-12-26,31.76%,17140.71,"$17,228.33",242.81,16.7,128.19,7.21,766,311,455,40.60%,1.62,2.13,4.78,60.54,-4.01,-1.09,0.00 days,0.00 days,62
2017-01-03,2024-12-26,31.22%,17178.23,"$17,347.30",243.56,16.73,128.19,7.21,782,327,455,41.82%,1.62,2.13,4.64,59.02,-4.13,-1.13,0.00 days,0.00 days,63
2017-01-03,2024-12-26,30.79%,17816.75,"$17,823.48",256.33,17.27,128.19,7.21,763,288,475,37.75%,1.71,2.19,5.45,48.96,-5.24,-1.1,0.00 days,0.00 days,64
2017-01-03,2024-12-26,31.76%,16948.07,"$17,042.98",238.96,16.53,128.19,7.24,766,311,455,40.60%,1.61,2.1,4.71,58.61,-4.08,-1.11,0.00 days,0.00 days,65
2017-01-03,2024-12-26,31.82%,17428.04,"$17,483.36",248.56,16.94,128.19,7.33,749,299,450,39.92%,1.64,2.12,4.79,64.47,-3.86,-1.09,0.00 days,0.00 days,66
2017-01-03,2024-12-26,30.67%,17348.16,"$17,472.34",246.96,16.87,128.19,7.15,808,350,458,43.32%,1.62,2.17,4.7,58.79,-4.2,-1.15,0.00 days,0.00 days,67
