Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
20,5,17,2.16,"13,403.92","13,975.28",168.08,28.22,43.21,1.47,1017,319,698,31.37,1.46,0.41,10.77,5.27,-5.36,-5.36,0.96,0.32,0.41
14,4,12,2.57,"12,499.60","12,615.08",149.99,25.96,43.91,1.29,1210,415,795,34.30,1.44,0.41,9.76,5.35,-4.85,-4.85,0.96,0.29,0.41
15,6,18,2.13,"14,288.76","14,591.76",185.78,30.30,43.82,1.60,1001,338,663,33.77,1.45,0.41,9.97,4.89,-6.19,-6.19,0.96,0.32,0.41
15,7,19,2.00,"14,578.16","15,052.24",191.56,30.96,43.82,1.72,941,336,605,35.71,1.44,0.40,9.31,5.05,-6.13,-6.13,0.96,0.33,0.4
18,4,19,2.19,"13,137.80","13,938.24",162.76,27.57,43.46,1.46,1030,261,769,25.34,1.50,0.40,13.58,3.89,-7.09,-7.09,0.96,0.31,0.4
12,4,18,2.44,"13,108.96","13,721.80",162.18,27.48,43.98,1.47,1146,295,851,25.74,1.45,0.40,12.10,4.77,-5.76,-5.76,0.96,0.29,0.4
12,4,13,2.64,"12,577.40","13,065.32",151.55,26.16,43.98,1.34,1240,399,841,32.18,1.42,0.40,9.78,5.19,-5.04,-5.04,0.96,0.29,0.4
14,7,18,2.09,"14,234.80","14,719.08",184.70,30.15,43.91,1.68,980,358,622,36.53,1.41,0.40,8.57,4.66,-6.48,-6.48,0.96,0.32,0.4
12,5,17,2.39,"13,702.48","14,156.72",174.05,28.91,43.98,1.53,1123,347,776,30.90,1.43,0.40,10.15,5.95,-4.86,-4.86,0.96,0.29,0.4
12,4,15,2.55,"12,857.00","13,384.92",157.14,26.86,43.98,1.41,1200,351,849,29.25,1.44,0.40,10.76,4.32,-6.22,-6.22,0.96,0.28,0.4
