Time,Price,Size,Exchange
2025-01-21 23:42:15.000000,6093.25,7.0,
2025-01-21 23:42:19.000000,6093.5,2.0,
2025-01-21 23:42:19.000000,6093.5,5.0,
2025-01-21 23:42:20.000000,6093.5,1.0,
2025-01-21 23:42:20.000000,6093.5,1.0,
2025-01-21 23:42:20.000000,6093.5,3.0,
2025-01-21 23:42:20.000000,6093.5,1.0,
2025-01-21 23:42:20.000000,6093.5,3.0,
2025-01-21 23:42:20.000000,6093.5,2.0,
2025-01-21 23:42:20.000000,6093.5,1.0,
2025-01-21 23:42:22.000000,6093.5,2.0,
2025-01-21 23:42:22.000000,6093.5,1.0,
2025-01-21 23:42:25.000000,6093.5,2.0,
2025-01-21 23:42:25.000000,6093.5,1.0,
2025-01-21 23:42:26.000000,6093.5,1.0,
2025-01-21 23:42:32.000000,6093.5,1.0,
2025-01-21 23:42:35.000000,6093.5,1.0,
2025-01-21 23:42:35.000000,6093.5,1.0,
2025-01-21 23:42:35.000000,6093.5,1.0,
2025-01-21 23:42:36.000000,6093.5,1.0,
2025-01-21 23:42:36.000000,6093.75,2.0,
2025-01-21 23:42:36.000000,6093.75,1.0,
2025-01-21 23:42:36.000000,6093.75,1.0,
2025-01-21 23:42:36.000000,6093.75,2.0,
2025-01-21 23:42:36.000000,6093.75,19.0,
2025-01-21 23:42:36.000000,6093.75,2.0,
2025-01-21 23:42:36.000000,6093.75,1.0,
2025-01-21 23:42:36.000000,6093.5,1.0,
2025-01-21 23:42:40.000000,6093.5,1.0,
2025-01-21 23:42:40.000000,6093.5,8.0,
2025-01-21 23:42:40.000000,6093.5,2.0,
2025-01-21 23:42:44.000000,6093.5,1.0,
2025-01-21 23:42:44.000000,6093.5,4.0,
2025-01-21 23:42:44.000000,6093.5,1.0,
2025-01-21 23:42:44.000000,6093.5,1.0,
2025-01-21 23:42:44.000000,6093.5,1.0,
2025-01-21 23:42:45.000000,6093.5,1.0,
2025-01-21 23:42:45.000000,6093.5,2.0,
2025-01-21 23:42:45.000000,6093.5,1.0,
2025-01-21 23:42:45.000000,6093.5,1.0,
2025-01-21 23:42:46.000000,6093.5,1.0,
2025-01-21 23:42:46.000000,6093.75,4.0,
2025-01-21 23:42:50.000000,6093.5,1.0,
2025-01-21 23:42:50.000000,6093.5,1.0,
2025-01-21 23:42:50.000000,6093.5,1.0,
2025-01-21 23:42:56.000000,6093.5,1.0,
2025-01-21 23:43:00.000000,6093.25,1.0,
2025-01-21 23:43:00.000000,6093.25,5.0,
2025-01-21 23:43:00.000000,6093.5,1.0,
2025-01-21 23:43:10.000000,6093.0,2.0,
2025-01-21 23:43:10.000000,6093.0,2.0,
2025-01-21 23:43:11.000000,6092.75,1.0,
2025-01-21 23:43:11.000000,6092.75,1.0,
2025-01-21 23:43:13.000000,6092.75,1.0,
2025-01-21 23:43:17.000000,6093.0,1.0,
2025-01-21 23:43:17.000000,6093.0,2.0,
2025-01-21 23:43:17.000000,6093.0,4.0,
2025-01-21 23:43:19.000000,6093.0,1.0,
2025-01-21 23:43:19.000000,6093.0,2.0,
2025-01-21 23:43:19.000000,6093.0,1.0,
2025-01-21 23:43:19.000000,6093.0,3.0,
2025-01-21 23:43:19.000000,6093.0,1.0,
2025-01-21 23:43:19.000000,6093.0,2.0,
2025-01-21 23:43:24.000000,6092.75,1.0,
2025-01-21 23:43:26.000000,6093.0,1.0,
2025-01-21 23:43:37.000000,6093.0,7.0,
2025-01-21 23:43:37.000000,6093.0,1.0,
2025-01-21 23:43:43.000000,6093.25,3.0,
2025-01-21 23:43:43.000000,6093.25,2.0,
2025-01-21 23:43:43.000000,6093.25,8.0,
2025-01-21 23:43:43.000000,6093.25,2.0,
2025-01-21 23:43:43.000000,6093.25,1.0,
2025-01-21 23:43:43.000000,6093.25,1.0,
2025-01-21 23:43:43.000000,6093.25,1.0,
2025-01-21 23:43:43.000000,6093.0,1.0,
2025-01-21 23:43:43.000000,6093.0,1.0,
2025-01-21 23:43:47.000000,6093.0,2.0,
2025-01-21 23:43:47.000000,6093.0,1.0,
2025-01-21 23:43:55.000000,6093.25,2.0,
2025-01-21 23:44:00.000000,6093.0,1.0,
2025-01-21 23:44:01.000000,6093.0,3.0,
2025-01-21 23:44:18.000000,6092.75,9.0,
2025-01-21 23:44:18.000000,6092.5,1.0,
2025-01-21 23:44:18.000000,6092.75,1.0,
2025-01-21 23:44:18.000000,6092.75,1.0,
2025-01-21 23:44:18.000000,6092.75,1.0,
2025-01-21 23:44:18.000000,6092.75,1.0,
2025-01-21 23:44:18.000000,6092.75,1.0,
2025-01-21 23:44:20.000000,6092.75,1.0,
2025-01-21 23:44:20.000000,6092.75,2.0,
2025-01-21 23:44:34.000000,6092.75,1.0,
2025-01-21 23:44:35.000000,6092.75,2.0,
2025-01-21 23:44:35.000000,6092.75,1.0,
2025-01-21 23:44:35.000000,6092.75,2.0,
2025-01-21 23:44:35.000000,6092.75,1.0,
2025-01-21 23:44:35.000000,6092.75,2.0,
2025-01-21 23:44:35.000000,6092.75,2.0,
2025-01-21 23:44:48.000000,6092.5,1.0,
2025-01-21 23:44:48.000000,6092.5,1.0,
2025-01-21 23:44:48.000000,6092.5,2.0,
2025-01-21 23:44:48.000000,6092.5,1.0,
2025-01-21 23:44:48.000000,6092.5,3.0,
2025-01-21 23:44:53.000000,6092.5,1.0,
2025-01-21 23:44:53.000000,6092.5,1.0,
2025-01-21 23:44:53.000000,6092.5,1.0,
2025-01-21 23:44:53.000000,6092.5,1.0,
2025-01-21 23:44:53.000000,6092.5,1.0,
2025-01-21 23:44:53.000000,6092.5,1.0,
2025-01-21 23:44:53.000000,6092.5,1.0,
2025-01-21 23:45:01.000000,6092.5,1.0,
2025-01-21 23:45:01.000000,6092.5,1.0,
2025-01-21 23:45:01.000000,6092.5,1.0,
2025-01-21 23:45:02.000000,6092.25,1.0,
